lot_size,loss_trigger,profit_target,year_end_net_profit,year_end_net_capital
0.1,50,100,0.06,1000.06
0.09,40,70,0.06,1000.06
0.09,30,90,0.06,1000.06
0.09,30,100,0.06,1000.06
0.09,35,20,0.06,1000.06
0.09,35,30,0.06,1000.06
0.09,35,50,0.06,1000.06
0.09,35,90,0.06,1000.06
0.09,35,100,0.06,1000.06
0.09,40,30,0.06,1000.06
0.09,40,50,0.06,1000.06
0.09,40,60,0.06,1000.06
0.09,40,80,0.06,1000.06
0.09,30,50,0.06,1000.06
0.09,45,10,0.06,1000.06
0.09,45,40,0.06,1000.06
0.09,45,50,0.06,1000.06
0.09,45,60,0.06,1000.06
0.09,45,70,0.06,1000.06
0.09,45,80,0.06,1000.06
0.09,50,10,0.06,1000.06
0.09,50,20,0.06,1000.06
0.09,50,60,0.06,1000.06
0.09,50,70,0.06,1000.06
0.09,30,80,0.06,1000.06
0.09,30,30,0.06,1000.06
0.09,50,100,0.06,1000.06
0.09,15,50,0.06,1000.06
0.09,5,10,0.06,1000.06
0.09,5,30,0.06,1000.06
0.09,5,50,0.06,1000.06
0.09,5,60,0.06,1000.06
0.09,10,20,0.06,1000.06
0.09,10,40,0.06,1000.06
0.09,10,50,0.06,1000.06
0.09,10,60,0.06,1000.06
0.09,15,20,0.06,1000.06
0.09,15,30,0.06,1000.06
0.09,15,80,0.06,1000.06
0.09,30,20,0.06,1000.06
0.09,20,10,0.06,1000.06
0.09,20,20,0.06,1000.06
0.09,20,40,0.06,1000.06
0.09,20,70,0.06,1000.06
0.09,20,80,0.06,1000.06
0.09,20,90,0.06,1000.06
0.09,20,100,0.06,1000.06
0.09,25,10,0.06,1000.06
0.09,25,40,0.06,1000.06
0.09,25,60,0.06,1000.06
0.09,50,90,0.06,1000.06
0.09,45,30,0.06,1000.06
0.1,5,10,0.06,1000.06
0.1,25,60,0.06,1000.06
0.1,30,10,0.06,1000.06
0.1,30,30,0.06,1000.06
0.1,30,40,0.06,1000.06
0.1,30,60,0.06,1000.06
0.1,30,70,0.06,1000.06
0.1,30,80,0.06,1000.06
0.1,30,100,0.06,1000.06
0.1,35,10,0.06,1000.06
0.1,35,40,0.06,1000.06
0.1,5,20,0.06,1000.06
0.1,35,70,0.06,1000.06
0.1,35,80,0.06,1000.06
0.1,40,10,0.06,1000.06
0.1,40,30,0.06,1000.06
0.1,40,50,0.06,1000.06
0.1,40,100,0.06,1000.06
0.1,45,20,0.06,1000.06
0.1,45,40,0.06,1000.06
0.1,45,80,0.06,1000.06
0.1,45,100,0.06,1000.06
0.1,50,10,0.06,1000.06
0.1,50,50,0.06,1000.06
0.1,50,80,0.06,1000.06
0.1,25,90,0.06,1000.06
